generic_name,unit,auto_calculate,route,reference_regimen,warnings,source_name,source_edition,source_ref,name_ar,aliases,antidote,contraindications,interactions,high_risk
glycerin (glycerol),mg,no,Insert suppository per rectum; retain 15–30 minutes.,"Therapeutic class: Osmotic laxative (rectal) | Indications: Constipation. | Dosage form and strength: Suppository, rectal 900 mg (paediatric) and 2000 mg (adult). | Adult dosing: Rectal: one suppository as needed, retain 15–30 minutes. | Pediatric dosing: Infants/children: paediatric suppository (900 mg) as needed. | Renal/hepatic adjustment: Renal/Hepatic: no specific adjustment. | Administration: Insert suppository per rectum; retain 15–30 minutes. | Prescriber authority: All physicians may prescribe | Additional notes: Rapid rectal evacuation. ▪ Osmotic laxatives – Lactulose","Cautions and warnings: Local irritation with repeated use. | Adverse drug reactions: Abdominal pain, rectal irritation. | Monitoring: Bowel response. | Pregnancy category: C | Lactation: Use with caution / compatible | Storage: Store in a cool place; suppositories may be refrigerated.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.22,,,,Anal/rectal fissure or ulceration; acute abdominal conditions.,No clinically significant interactions.,no
glyceryl trinitrate (gtn),mg,no,Sublingual for acute relief; IV via non-PVC set and pump; rotate patch sites with nitrate-free interval.,"Therapeutic class: Nitrate (antianginal/vasodilator) | Indications: Acute angina (sublingual); angina prophylaxis (patch); IV for acute coronary syndromes, hypertensive emergencies and acute decompensated heart failure. | Dosage form and strength: Sublingual tablet 500 microgram; transdermal patch 5 mg/24 h; injection (concentrate) 50 mg/10 mL. | Adult dosing: Acute angina: 0.3–0.5 mg sublingual, repeat every 5 min (max 3 doses). IV: 5–200 mcg/min titrated. | Pediatric dosing: Children (specialist, ICU): IV 0.5–5 microgram/kg/min titrated; specialist use only. | Renal/hepatic adjustment: Renal/Hepatic: no specific adjustment. | Administration: Sublingual for acute relief; IV via non-PVC set and pump; rotate patch sites with nitrate-free interval. | Prescriber authority: All physicians may prescribe 38 | Additional notes: Contraindicated with PDE-5 inhibitors and riociguat. IV via non -PVC set and infusion pump; provide nitrate-free interval to avoid tolerance.","Cautions and warnings: Headache, hypotension; tolerance with continuous use; use non -PVC IV set. | Adverse drug reactions: Headache, hypotension, flushing, tachycardia, dizziness, methaemoglobinaemia (high dose). | Monitoring: Continuous BP during IV; headache; tolerance. | Pregnancy category: C | Lactation: Not known if present in breast milk | Storage: Store at room temperature; protect sublingual tablets from light/moisture.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.37,,,,Concurrent PDE -5 inhibitors or riociguat; severe hypotension/hypovolaemia; raised ICP; aortic/mitral stenosis.,Contraindicated with PDE -5 inhibitors and riociguat; additive hypotension with antihypertensives/alcohol.,no
glycopyrrolate,mg,no,IV,"Package size / initial strength: 0.2 mg/ml (1 ml) | Diluents: NS, D5W. | Preparation, administration and stability: NS, D5W. IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration** Rate of Administration Adults 0.2 mg or fraction thereof Over 1 to 2 minutes Dilute 0.2 mg to get a total volume of 100 ml 0.2 mg/ml 20 minutes Pediatrics Over 1 to 2 minutes Dilute 0.2 mg to get a total volume of 100 ml 0.2 mg/ml 15 to 20 minutes Neonates No data available Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator Don’t dilute in LR. - - 48 hours - * Final Concentration: For the final product after dilution. ** Maximum Concentration: For fluid restricted patients. 152",,"JSH Sterile Preparations Manual v2, 2026 — Approved by P&T Committee (Dr. Hafiz Malhan)",JSH 2026,IV Sterile Preparations Manual p.150,,,,,,no
glycopyrronium bromide,mg,no,"IV/IM: may be given by direct slow IV injection (undiluted) or IM. With neostigmine for reversal of neuromuscular blockade, draw up and give together to attenuate muscarinic effects, per anaesthetic protocol. (Distinct from inhaled long-acting glycopyrronium preparations.)","Therapeutic class: Antimuscarinic (injection) | Indications: Antimuscarinic: reduction of secretions (peri -operative/anaesthesia); reversal of neuromuscular blockade with neostigmine; control of excessive respiratory/oral secretions. | Dosage form and strength: Injection 200 microgram/mL (1 mL ampoule). | Adult dosing: Reversal of bradycardia, vagal reflexes (intraoperative): IV: 0.1 mg as a single dose; repeat as needed at 2- to 3-minute intervals. Reversal of muscarinic effects of cholinergic agents: IV: 0.2 mg for each 1 mg of neostigmine or 5 mg of pyridostigmine administered. | Pediatric dosing: Reduction of secretions, preoperative: Infants and Children ≤2 years: IM: 4 to 9 mcg/kg as a single dose 30 to 60 minutes before procedure. Children >2 years and Adolescents: IM: 4 mcg/kg as a single dose 30 to 60 minutes before procedure. Reversal of muscarinic effects of cholinergic agents: Infants, Children, and Adolescents: IV: 0.2 mg for each 1 mg of neostigmine or 5 mg of pyridostigmine administered. | Renal/hepatic adjustment: Renal: caution – reduce dose in impairment. Hepatic: no specific adjustment. | Administration: IV/IM: may be given by direct slow IV injection (undiluted) or IM. With neostigmine for reversal of neuromuscular blockade, draw up and give together to attenuate muscarinic effects, per anaesthetic protocol. (Distinct from inhaled long-acting glycopyrronium preparations.) | Prescriber authority: Registrars & Consultants may prescribe | Additional notes: Injectable antimuscarinic (distinct from inhaled LAMA preparations). – Inhaled Corticosteroids ▪ Inhaled / Nebulised Corticosteroids","Cautions and warnings: Anticholinergic effects; tachycardia; urinary retention. | Adverse drug reactions: Dry mouth, tachycardia, urinary retention, blurred vision, constipation, flushing. | Monitoring: Heart rate; anticholinergic effects. | Pregnancy category: Use only if clearly needed | Lactation: Use with caution | Storage: Store at room temperature; protect from light.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.88,,,,Narrow-angle glaucoma; GI/urinary obstruction; myasthenia gravis (relative).,"Additive anticholinergic effects with antihistamines, TCAs, antipsychotics.",no
gonadorelin (gnrh / lhrh),mg,no,"Reconstitute the vial with the supplied/recommended diluent (e.g. sterile water) immediately before use. Give as a single SC or IV bolus for the diagnostic test; ensure baseline samples are drawn first. For therapeutic use, deliver via a programmable GnRH pulse pump at the set interval. Have the patient resting; obtain timed blood samples accurately and label them carefully.","Therapeutic class: Synthetic gonadotropin-releasing hormone (GnRH / LHRH) — hypothalamic hormone (diagnostic agent). | Indications: Diagnostic: evaluation of anterior-pituitary gonadotropic function (LH/FSH reserve) — assessment of suspected hypogonadotropic hypogonadism, delayed/precocious puberty, and residual gonadotrope function after pituitary surgery/irradiation. Therapeutic (pulsatile pump): induction of ovulation/spermatogenesis in hypothalamic hypogonadotropic hypogonadism. | Dosage form and strength: Powder for solution for injection 100 micrograms and 500 micrograms per vial (reconstitute). SC or IV use. | Adult dosing: Diagnostic GnRH (LHRH) stimulation test: 100 micrograms as a single SC or IV bolus. Sampling: measure LH/FSH at baseline (−15 and 0 min) then at 15, 30, 45, 60 and 120 min after the dose. Therapeutic (pulsatile, hypothalamic hypogonadism): 5–20 micrograms per pulse SC/IV every 90–120 minutes via a GnRH infusion pump (specialist). | Pediatric dosing: Diagnostic test (≥12 years): 2–2.5 micrograms/kg as a single SC/IV dose, to a maximum of 100 micrograms. Children <12 years: use and dose determined by a specialist (some protocols use 25 micrograms or weight-based lower doses; infants are very sensitive — not recommended <1 year). | Renal/hepatic adjustment: No specific renal or hepatic dose adjustment (single diagnostic dose; rapidly metabolised, very short half-life). | Administration: Reconstitute the vial with the supplied/recommended diluent (e.g. sterile water) immediately before use. Give as a single SC or IV bolus for the diagnostic test; ensure baseline samples are drawn first. For therapeutic use, deliver via a programmable GnRH pulse pump at the set interval. Have the patient resting; obtain timed blood samples accurately and label them carefully. | Prescriber authority: Restricted to specialist / endocrinology use. | Additional notes: A normal LH rise confirms functional pituitary gonadotropes; a subnormal response does NOT distinguish hypothalamic from pituitary causes and does not measure full reserve. The 100 microgram vial is the standard adult test dose; the 500 microgram vial allows larger/therapeutic or repeated dosing. Distinct from long- acting GnRH analogues (agonists/antagonists) used to suppress the axis.","Cautions and warnings: Rare hypersensitivity/anaphylactoid reactions (more reported with repeated/therapeutic use); pituitary apoplexy reported rarely in patients with pituitary adenoma; multiple sex-steroid effects with chronic pulsatile use; the single test does not localise the lesion (hypothalamic vs pituitary) nor measure full reserve. | Adverse drug reactions: Usually well tolerated (single dose): occasional headache, nausea, abdominal discomfort, flushing, lightheadedness; injection-site pain/redness; rare hypersensitivity. Chronic pulsatile use: ovarian stimulation effects, antibody formation. 270 | Monitoring: Baseline and timed serum LH and FSH (and sex steroids as needed); observe for hypersensitivity after injection; for therapeutic use — follicular monitoring/ovulation or sperm parameters. | Pregnancy category: Considered acceptable when indicated (e.g. pulsatile ovulation induction); single diagnostic use poses minimal risk; use only if clearly needed. | Lactation: Excretion in milk not established; single diagnostic dose unlikely to be significant — use with caution. | Storage: Store vials per label (commonly room temperature or refrigerated, protected from light — it is moisture-sensitive); use reconstituted solution promptly.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.269,,,,Hypersensitivity to gonadorelin or any component.,"Drugs affecting gonadotropins reduce test reliability — androgens, oestrogens, progestogens, glucocorticoids, dopamine agonists/antagonists, spironolactone and prior GnRH analogues; ovulation induction agents and digoxin may alter the response.",no
goserelin,mg,no,SubQ: administer the implant by inserting the needle at a 30 to 45 degree angle into the anterior abdominal wall below the navel line; use aseptic technique and rotate sites. Do not aspirate.,"Therapeutic class: GnRH agonist | Indications: Prostate cancer; breast cancer (pre/perimenopausal); endometriosis; uterine fibroids; endometrial thinning before surgery; assisted reproduction (down-regulation); central precocious puberty. | Dosage form and strength: Implant 3.6 mg (monthly) and 10.8 mg (3 -monthly), prefilled syringe (SubQ). | Adult dosing: Adults: Prostate/breast cancer: 3.6 mg SubQ every 28 days or 10.8 mg SubQ every 12 weeks. Endometriosis/fibroids: 3.6 mg SubQ every 28 days for up to 6 months. In prostate cancer, cover the initial “tumour flare” with an anti-androgen. | Pediatric dosing: Central precocious puberty: weight-based per specialist protocol. | Renal/hepatic adjustment: No specific renal/hepatic adjustment. | Administration: SubQ: administer the implant by inserting the needle at a 30 to 45 degree angle into the anterior abdominal wall below the navel line; use aseptic technique and rotate sites. Do not aspirate. | Prescriber authority: Specialist use (oncology/urology/gynaecology) | Additional notes: Cover the initial flare with an anti-androgen in prostate cancer; monitor bone density on long-term therapy.","Cautions and warnings: Initial testosterone/oestrogen surge (“flare”) – cover with an anti - androgen in prostate cancer and watch for tumour-flare effects; reduced bone mineral density with prolonged use; metabolic/cardiovascular effects of androgen deprivation; QT effects. | Adverse drug reactions: Hot flushes, sweating, reduced libido/erectile dysfunction, injection - site reactions, reduced bone density (long-term), mood changes; tumour flare initially. | Monitoring: Testosterone/oestrogen and disease response; bone mineral density with prolonged use; blood glucose/lipids and cardiovascular risk. | Pregnancy category: Contraindicated | Lactation: Contraindicated | Storage: Store at room temperature per product.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.273,,,,Pregnancy and breast -feeding; undiagnosed vaginal bleeding; hypersensitivity.,Androgen-deprivation therapy may add to QT-prolonging drugs. 274,no
granisetron,mg,no,Oral 1 h before chemotherapy.,"Therapeutic class: 5-HT3 receptor antagonist (Antiemetic) 28 | Indications: Prevention of chemotherapy/radiotherapy -induced and postoperative nausea and vomiting. | Dosage form and strength: Tablet 1 mg. | Adult dosing: CINV: 1 mg twice daily or 2 mg once daily, first dose 1 hour before chemotherapy. | Pediatric dosing: Children ≥2 years: 10–40 microgram/kg per dose (max 1 mg) before chemotherapy. | Renal/hepatic adjustment: Renal/Hepatic: no specific adjustment. | Administration: Oral 1 h before chemotherapy. | Prescriber authority: All physicians may prescribe | Additional notes: Caution with QT-prolonging drugs. ▪ Antihistamine antiemetic – Dimenhydrinate | Package size / initial strength: 1 mg/ml (1 ml) | Diluents: D5W, NS. | Preparation, administration and stability: D5W, NS. IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration** Rate of Administration Adults Over 30 seconds Dilute does to get a total volume of 20 to 50 ml Depends on dose Undiluted: 1 mg/ml 40 mcg/kg in 20 ml infuse over 5 minutes 40 to 80 mcg/kg in 50 ml infuse over 30 minutes Pediatrics Over 30 seconds Dilute does to get a total volume of 20 to 50 ml Depends on dose Undiluted: 1 mg/ml 40 mcg/kg in 20 ml infuse over 5 minutes 40 to 80 mcg/kg in 50 ml infuse over 30 minutes Neonates No data available Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator Look-Alike and Sound-Alike (LASA) medication - - 24 hours - * Final Concentration: For the final product after dilution. ** Maximum Concentration: For fluid restricted patients. 153","Cautions and warnings: QT prolongation – caution with other QT drugs and electrolyte disturbance. | Adverse drug reactions: Headache, constipation, QT prolongation, asthenia. | Monitoring: ECG/QT in at-risk patients. | Pregnancy category: B | Lactation: Use with caution | Storage: Store at room temperature; protect from light.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.27 | IV Sterile Preparations Manual p.151,,,,Hypersensitivity to 5-HT3 antagonists.,Additive QT prolongation with other QT drugs; serotonergic risk with SSRIs/SNRIs.,no
griseofulvin,mg,no,Oral: administer with or after a fatty meal to enhance absorption.,"Therapeutic class: Antifungal (systemic, dermatophytes) | Indications: Treatment of susceptible tinea (dermatophyte) infections of the skin, hair and nails not responding to topical therapy. | Dosage form and strength: Tablet 500 mg; syrup 125 mg/5 mL. | Adult dosing: Adults: 500–1000 mg/day in single or divided doses. Duration: tinea corporis 2–4 weeks; tinea capitis 4–8 (up to 12) weeks; tinea pedis 4–8 weeks; tinea unguium 3–6 months or longer. | Pediatric dosing: Children: 10–20 mg/kg/day (microsize) in single or divided doses; duration per site of infection. | Renal/hepatic adjustment: Hepatic impairment: contraindicated in severe liver disease. | Administration: Oral: administer with or after a fatty meal to enhance absorption. | Prescriber authority: All physicians may prescribe | Additional notes: Take with fatty food; long courses for nail infections; advise reliable contraception.","Cautions and warnings: Breast-feeding; photosensitivity; men should not father children during and for 6 months after treatment. | Adverse drug reactions: Headache, nausea, vomiting, dizziness, skin reactions, photosensitivity, blood disorders. | Monitoring: LFTs and CBC with prolonged therapy. | Pregnancy category: C (contraindicated) | Lactation: Avoid – excretion in milk unknown (potential tumorigenicity) | Storage: Store at room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.221,,,,Severe liver disease; porphyria; systemic lupus erythematosus; pregnancy (and avoid pregnancy during and for 1 month after treatment).,Induces metabolism of warfarin (reduced effect) and oral contraceptives (reduced efficacy); alcohol may cause a disulfiram -like reaction.,no
haloperidol,mg,no,"Administer with or without food; may take without regard to time of day. The manufacturer’s labeling states tablets should not be broken; however, available data do not indicate any safety or efficacy concerns with this practice.","Therapeutic class: First-generation antipsychotic (butyrophenone) | Indications: Schizophrenia and other psychoses; acute agitation; Tourette syndrome; nausea (palliative). | Dosage form and strength: Tablet 5 mg; injection 5 mg/mL. | Adult dosing: Acute agitation / acute psychosis: IM 2–5 mg per dose, repeat every 4–8 hours as needed (every hour if severe); usual max ~20 mg/day. Oral 2–5 mg 2–3 times daily for moderate symptoms. Schizophrenia / chronic psychosis (maintenance, oral): 1–15 mg/day in divided doses; titrate to response. Severe/resistant cases may go higher under specialist care (up to ~30 mg/day). Delirium (e.g. ICU, off-label): low doses, e.g. 0.5–2 mg IV/IM/PO, repeated and titrated; use lowest effective dose, shortest duration. Tourette syndrome / tics: oral 0.5–2 mg 2–3 times daily, titrated. Nausea/vomiting (palliative, off-label): 0.5–2 mg IV/SC/PO every 6– 12 hours. Long-acting depot (haloperidol decanoate): IM every 4 weeks, ~10– 20× the stabilized daily oral dose (specialist). | Pediatric dosing: Psychosis (3–12 y or 15–40 kg): oral 0.05–0.15 mg/kg/day divided 2– 3 times daily; ≥12 y: as lower adult range. 137 Tourette / non-psychotic behavioral disorders (3–12 y): oral 0.05– 0.075 mg/kg/day divided 2–3 times daily. Acute agitation (older children/adolescents, specialist): IM 1–3 mg/dose, titrated; avoid in young children. Not recommended <3 years. | Renal/hepatic adjustment: Renal: caution. Hepatic: reduce dose. | Administration: Administer with or without food; may take without regard to time of day. The manufacturer’s labeling states tablets should not be broken; however, available data do not indicate any safety or efficacy concerns with this practice. | Prescriber authority: All physicians may prescribe | Additional notes: Long-acting decanoate injection, oral drops and some tablet strengths are inactive in the formulary.","Cautions and warnings: Extrapyramidal symptoms, QT prolongation, neuroleptic malignant syndrome; ECG in higher-risk patients. | Adverse drug reactions: Extrapyramidal symptoms, sedation, QT prolongation, hyperprolactinaemia. | Monitoring: ECG/QT, extrapyramidal symptoms, NMS, prolactin. | Pregnancy category: Pregnancy Risk Factor C Pregnancy Implications Adverse events were observed in animal reproduction studies. Haloperidol crosses the placenta in humans (Newport 2007). | Lactation: Caution – monitor infant; Breastfeeding is not recommended by the manufacturer. | Storage: Room temperature; protect from light.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.136,,,,Comatose states; Parkinson disease/Lewy body dementia; QT prolongation; concurrent strong QT drugs.,Additive QT with other QT drugs; additive CNS depression; antagonises levodopa/dopamine agonists.,no
haloperidol lactate,mg,no,IV,"Package size / initial strength: 5 mg/ml (1 ml) | Diluents: D5W. | Preparation, administration and stability: D5W. IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration** Rate of Administration Adults Up to 10 mg over 1 minute Dilute dose up to 10 mg to get a total volume of 50 ml Depends on dose For IV Push 5 mg/ml undiluted, For IV infusion 3 mg/ml in D5W, 0.75 mg/ml in NS As directed Pediatrics No data available Neonates No data available Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator Protected final product from light. Watch for precipitation. An ECG should be monitored if the drug is infused IV. - - 7 days - * Final Concentration: For the final product after dilution. ** Maximum Concentration: For fluid restricted patients. 154",,"JSH Sterile Preparations Manual v2, 2026 — Approved by P&T Committee (Dr. Hafiz Malhan)",JSH 2026,IV Sterile Preparations Manual p.152,,,,,,no
heparin,unit,no,IV,"Package size / initial strength: 1000 unit/ml (5 ml) 5000 unit/ml (5 ml) | Diluents: NS, D5W, LR. | Preparation, administration and stability: NS, D5W, LR. IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration** Rate of Administration Adults Undiluted 5000 U/ml over 1 minute Dilute 25,000 U to get a total volume of 250 ml 100 U/ml Undiluted 5000 U/ml Infusion rate should be titrated to the appropriate aPTT Dilute 25,000 U to get a total volume of 500 ml Pediatrics Over 10 minutes Dilute 25,000 U to get a total volume of 250 ml 100 U/ml Undiluted 5000 U/ml Infusion rate should be titrated to the appropriate aPTT Neonates Over 10 minutes No data available For loading doses 100 to 500 U/ml For continuous IV infusion 10 to 500 U/ml 40 U/ml For treatment of thrombosis: 75 units/kg IV over 10 minutes Followed by 28 units/kg/hr, measure aPTT Then adjust dose to achieve an aPTT that corresponds to an anti to factor Xa level Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator High Alert Medication (HAM). Look-Alike and Sound-Alike (LASA) medication. Protect intact vials from freezing and temperatures >40°C. - - 24 hours 24 hours * Final Concentration: For the final product after dilution. ** Maximum Concentration: For fluid restricted patients. 155",,"JSH Sterile Preparations Manual v2, 2026 — Approved by P&T Committee (Dr. Hafiz Malhan)",JSH 2026,IV Sterile Preparations Manual p.153,هيبارين,unfractionated heparin|ufh|hep,Protamine sulfate 1 mg per 100 units heparin (max 50 mg IV slowly),,,yes
heparin sodium,unit,no,IV infusion via pump (weight -based) or SC; never confuse vial strengths.,"Therapeutic class: Unfractionated heparin | Indications: Prophylaxis and treatment of thromboembolic disorders; anticoagulation for extracorporeal/dialysis circuits; STEMI adjunct to thrombolysis; UA/NSTEMI; PCI. | Dosage form and strength: Injection 25,000 units/5 mL; 5000 units/0.2 mL. | Adult dosing: Treatment: 80 units/kg IV bolus then 18 units/kg/h, adjusted by aPTT. Prophylaxis: 5000 units SC every 8–12 h. | Pediatric dosing: Children: loading 75 units/kg IV then 20–28 units/kg/h, adjusted by aPTT/anti-Xa. | Renal/hepatic adjustment: Renal/Hepatic: no specific dose change; monitor closely. | Administration: IV infusion via pump (weight -based) or SC; never confuse vial strengths. | Prescriber authority: All physicians may prescribe | Additional notes: Dose by weight; monitor aPTT/anti -Xa. Pregnancy minidose prophylaxis: 5000 units SC every 12 h. Use dosing body weight in obesity. 46","Cautions and warnings: Bleeding, heparin -induced thrombocytopenia (monitor platelets), hyperkalaemia, osteoporosis (long-term). | Adverse drug reactions: Bleeding (major adverse effect), fever, headache, urticaria, alopecia, heparin-induced thrombocytopenia. | Monitoring: aPTT or anti-Xa; platelets (HIT); potassium; signs of bleeding. | Pregnancy category: C | Lactation: Compatible if preservative-free | Storage: Store at room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.45,,,Protamine sulfate 1 mg per 100 units heparin (max 50 mg IV slowly),Active major bleeding; severe thrombocytopenia; history of HIT; hypersensitivity.,"Additive bleeding with antiplatelets, NSAIDs, thrombolytics; nitroglycerin IV may reduce effect.",yes
hepatitis b immunoglobulin (hepatect),mg,no,IV,"Package size / initial strength: 50 U/ml (2 ml, 10 ml) | Diluents: Not applicable | Preparation, administration and stability: Not applicable IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration** Rate of Administration Adults Do NOT administer IV push Administer undiluted (50 mg/ml) ""Slowly"" Less than 1ml/min, 0.1 ml/kg/hr for 10 minutes. If well tolerated, the rate of administration may gradually be increased to a maximum of 1 ml/kg/hr. Pediatrics No data available Neonates Do NOT administer IV push Administer undiluted (50 mg/ml) Infusion rate of 2 ml in to between 5 to 15 minutes has been well tolerated Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator Look-Alike and Sound-Alike (LASA) medication. Single use vial; Use immediately after opening. Protect intact vials from light; keep the vials in the outer carton. Store in a refrigerator. Do not freeze. If dilution is preferred prior to IV administration, dilute with NS; do NOT use D5W. - - - - * Final Concentration: For the final product after dilution. ** Maximum Concentration: For fluid restricted patients. 156",,"JSH Sterile Preparations Manual v2, 2026 — Approved by P&T Committee (Dr. Hafiz Malhan)",JSH 2026,IV Sterile Preparations Manual p.154,,,,,,no
hydralazine,mg,no,IV,"Package size / initial strength: 20 mg/ml (1 ml) | Diluents: NS. | Preparation, administration and stability: NS. IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration** Rate of Administration Adults 10 mg/min Dilute dose < 20 mg to get a total volume of 50 ml Depends on dose 20 mg/ml 30 minutes Dilute dose 21 to 40 mg to get a total volume of 100 ml 30 minutes Dilute dose >40 mg to get a total volume of 250 ml > 60 minutes Pediatrics 20 mg/ml as slow IV push over 1 to 2 minutes. Maximum: 5 mg/min. No data available No data available 20 mg/ml 0.2 mg/kg/minutes or 5 minutes whichever is greater Neonates 20 mg/ml undiluted over 30 seconds to 2 minutes No data available 1 mg/ml$ 20 mg/ml 3 to 5 minutes Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator Look-Alike and Sound-Alike (LASA) medication. Solution may discolor upon contact with metal, it has been stated that color change within 8 to 12 hours of preparation at 30°C are not indicative of potency losses; discard discolored solutions. - - 24 hours Don’t refrigerate * Final Concentration: For the final product after dilution. $Version 2 update ** Maximum Concentration: For fluid restricted patients. 159",,"JSH Sterile Preparations Manual v2, 2026 — Approved by P&T Committee (Dr. Hafiz Malhan)",JSH 2026,IV Sterile Preparations Manual p.157,,,,,,no
hydralazine hcl,mg,no,Oral; slow IV for hypertensive emergency.,"Therapeutic class: Direct vasodilator | Indications: Heart failure with reduced ejection fraction (with isosorbide dinitrate); chronic hypertension; hypertensive emergency (including in pregnancy/postpartum); perioperative hypertension. | Dosage form and strength: Tablet 25 mg; injection 20 mg/mL. | Adult dosing: Heart failure: 25 mg three times daily with isosorbide dinitrate, titrate. Hypertensive emergency: IV 5–20 mg. | Pediatric dosing: Children: oral 0.75–1 mg/kg/day in divided doses; IV 0.1–0.5 mg/kg/dose for hypertensive emergency. | Renal/hepatic adjustment: Renal: extend interval in significant impairment. Hepatic: reduce dose. | Administration: Oral; slow IV for hypertensive emergency. | Prescriber authority: Restricted to Registrars & Consultants | Additional notes: Contraindicated in coronary artery disease; reflex tachycardia (consider combining with a beta-blocker). Caution in cerebrovascular disease.","Cautions and warnings: Reflex tachycardia (combine with beta -blocker), drug -induced lupus (high dose), fluid retention. | Adverse drug reactions: Vasculitis, toxic epidermal necrolysis, haemolytic anaemia, hepatotoxicity, fatigue, lupus -like syndrome (doses ≥200 mg for ≥3 months), glomerulonephritis. 67 | Monitoring: Blood pressure, heart rate; ANA/lupus features with long-term use. | Pregnancy category: X – crosses the placenta | Lactation: Present in breast milk | Storage: Store at room temperature; protect from light.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.66,,,,Coronary artery disease; mitral valve rheumatic heart disease; dissecting aortic aneurysm; SLE; hypersensitivity.,Additive hypotension with other antihypertensives and PDE -5 inhibitors; NSAIDs reduce effect.,no
hydrochlorothiazide,mg,no,Oral in the morning.,"Therapeutic class: Thiazide diuretic | Indications: Hypertension; oedema (adjunct). | Dosage form and strength: Tablet 25 mg (also combination with amiloride 5 mg + HCTZ 50 mg). | Adult dosing: Hypertension: 12.5–25 mg once daily. Oedema: 25–100 mg/day. | Pediatric dosing: Children: 1–2 mg/kg/day in 1–2 divided doses (max 50 mg/day, lower in <2 years per product). | Renal/hepatic adjustment: Renal: ineffective and contraindicated in anuria. Hepatic: caution (electrolyte shifts can precipitate coma). | Administration: Oral in the morning. | Prescriber authority: All physicians may prescribe | Additional notes: Anuria: contraindicated. No hepatic adjustment. Elderly: start 12.5–25 mg with slower titration. (Combination amiloride/HCTZ adds potassium-sparing effect – monitor potassium.)","Cautions and warnings: Hypokalaemia, hyponatraemia, hyperuricaemia/gout, hyperglycaemia; photosensitivity. | Adverse drug reactions: Electrolyte disturbance, hypokalaemia, dizziness, rash; hyperuricaemia. | Monitoring: Electrolytes (potassium/sodium), renal function, glucose, uric acid. | Pregnancy category: B | Lactation: Excreted in breast milk / not recommended | Storage: Store at room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.60,,,,Anuria; severe renal/hepatic impairment; refractory hypokalaemia/hyponatraemia; hypercalcaemia; sulfonamide hypersensitivity.,Additive hypokalaemia with corticosteroids/other diuretics; raised lithium; reduced effect with NSAIDs.,no
