generic_name,unit,auto_calculate,route,reference_regimen,warnings,source_name,source_edition,source_ref
cefazoline,mg,no,IVP IV inf,Initial strength: 100mg/ml. Diluents: D5W NS. Reconstitution volume: 10ml SWFI. Final concentration (IVP/IVPB): 1mg/10ml (Undiluted) Maximum 138mg/ml / 20mg/ml. Standard preparation: Premixed: 1g /50ml NS 1g/50ml D5W. Maximum concentration: 69mg/ml NS 77mg/ml D5W. Preparation at maximum concentration: 6.9gm/100ml NS 7.7mg/100ml D5W. Vial stability (RT/Ref): 24 hrs / 10 day. Premixed stability (RT/Ref): 2 days / 14 days. Rate of administration: IVP: 3-5 mint / IVPB: 30 – 60 mint.,"Special conditions: -protect from light - frozen cefazolin injections are stable for 48 hours at room temperature or 30 days when refrigerated - Iv push 50-100 mg/ml Intermetent infusion 5-20 mg/ml | Monitoring: Hypersen sitivity -KFT -LFT -CBC | Y-site compatibility: Acyclovir Na, alprostadil, atracurium aztreonam….etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.12
cefepime,mg,no,IV inf,Initial strength: 100mg/ ml for 1g dose 160mg/ml for 2g dose. Diluents: D5W NS. Reconstitution volume: If the single dose 2g( IV) amount of l SWFI 1g(IV) 10ml 1g(IM) 2.4ml. Final concentration (IVP/IVPB): 20mg/ ml. Standard preparation: Premixed: 1g/ 50ml D5W 1g/ 50ml NS. Maximum concentration: 40mg/ ml. Preparation at maximum concentration: 2g/ 100ml D5W 2g/ 100ml NS. Vial stability (RT/Ref): 24 hrs / 7 days. Premixed stability (RT/Ref): 24 hrs / 7 days. Rate of administration: IVPB: 30 min.,"Special conditions: Can be given IM | Monitoring: CBC Hypersen sitivity Renalfunc tion -KFT | Y-site compatibility: amikacin, fluconazole","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.12
cefotaxime,mg,no,IVP IV inf,Initial strength: 100mg/ ml. Diluents: D5W NS. Reconstitution volume: 10ml SWFI. Final concentration (IVP/IVPB): Undiluted 200 mg/mL via central catheter and 60 mg/mL via peripheral vein Maximum conc for IVP: 147 mg/ml in SWFI / 20mg/ ml. Standard preparation: Premixed: 1g/ 50ml D5W 1g/ 50ml NS. Maximum concentration: 86 mg/mL in D5W 73 mg/mL in NS. Preparation at maximum concentration: 4.3 gm / 50ml D5W 3.65gm/ 50ml NS. Vial stability (RT/Ref): 24 hrs / 7 days. Premixed stability (RT/Ref): 24 hrs / 5 days. Rate of administration: IVP: 3-5 min / IVPB: 20–60 minutes.,"Special conditions: Refrigerate -Do not give in severe heart failure and in patients with an un-paced heart block. -can be given deep IM -Rapid IV push (<1 minute) of a cephalosporin has caused potentially life-threatening arrhythmias. -Protect from light | Monitoring: CBC KFT LFT Hypersen sitivity | Y-site compatibility: combatability: Aciclovir, aztreonam, granisetron, magnesium sulfate, ….etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.12
ceftazidime,mg,no,IVP IV inf,Initial strength: 100mg/ ml. Diluents: D5W NS. Reconstitution volume: 10ml SWFI. Final concentration (IVP/IVPB): Undiluted 100–200 mg/mL in SW IVP / 10mg/ ml IVPB. Standard preparation: Premixed: 1g/ 100ml D5W 1g/ 100ml NS. Maximum concentration: 40mg/ ml. Preparation at maximum concentration: 2g/ 100ml D5W 2g/ 100ml NS. Vial stability (RT/Ref): 18 hrs RT / 7 days Ref. Premixed stability (RT/Ref): NA RT / NA Ref. Rate of administration: IVP: 3-5 min IVP / IVPB: 20-30 min IVPB.,"Special conditions: -For IM: Add 3ml SWFI to 1gm vial lead to 260mg/ml and administer without further dilution | Monitoring: CBC KFT LFT Hypersen sitivity | Y-site compatibility: Aciclovir, aztreonam, dopamine, esmolol, furosemide, granisetron…etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.12
cefuroxime,mg,no,IVP IV inf,Initial strength: 100mg/ ml. Diluents: D5W NS. Reconstitution volume: 7.2 ml SWFI. Final concentration (IVP/IVPB): (100mg/ ml) Undiluted Maximum:1 00mg/ ml / 7.5mg/ ml. Standard preparation: Premixed: 750mg/ 100ml D5W 750mg/ 100ml NS. Maximum concentration: 15mg/ ml. Preparation at maximum concentration: 1.5g/ 100ml D5W 1.5g/ 100ml NS. Vial stability (RT/Ref): 24 hrs / 48hrs. Premixed stability (RT/Ref): 24 hrs / 7 days. Rate of administration: IVP: 3-5 min / IVPB: 30 min.,"Special conditions: For IM: Add 3 ml SWFI to 750mg vial to give 225mg/ml | Monitoring: CBC KFT LFT Hypersen sitivity Hematolo gic function | Y-site compatibility: Aciclovir, granisetron, linezolid…etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.13
cephradine,mg,no,IVP IV inf,Initial strength: 100mg/ ml. Diluents: D5W NS. Reconstitution volume: 5 ml SWFI for 500 mg dose 10 ml SWFI For 1gm dose. Final concentration (IVP/IVPB): Undiluted / 10mg/ ml. Standard preparation: 1g/ 100ml D5W 1g/ 100ml NS. Maximum concentration: 20mg/ ml. Preparation at maximum concentration: 2g/ 100ml D5W 2g/ 100ml NS. Vial stability (RT/Ref): Use fresh / 12 hrs. Premixed stability (RT/Ref): 24 hrs / 24 hrs. Rate of administration: IVP: 3-5 min / IVPB: 30 min.,Special conditions: Can be given IM | Monitoring: CBC KFT LFT Hypersen sitivity | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.13
chlorpromazine,mg,no,IVP IV inf,Initial strength: 25mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 1mg/ ml / 0.25mg/ ml. Standard preparation: 25mg/ 100ml D5W 25mg/ 100ml NS. Maximum concentration: 0.5mg/ ml. Preparation at maximum concentration: 50mg/ 100ml D5W 50mg/ 100ml NS. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): Use fresh. Rate of administration: IVP: 1mg/ mint / IVPB: 1mg/mint.,"Special conditions: -Do not refrigerate -IM is recommended IV irritating -Protect from light Don’t use for lees than 6 month | Monitoring: BP ECG KFT RFT | Y-site compatibility: Cisatracurium, fluconazole, granisetron, hydrocortisone sodium….etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.13
ciprofloxacine,mg,no,IV inf,Initial strength: 2mg/ ml. Diluents: D5W. Final concentration (IVP/IVPB): 2mg/ ml. Standard preparation: 200mg/ 100ml D5W 400mg/ 200ml D5W. Maximum concentration: 2mg/ ml. Preparation at maximum concentration: 200mg/ 100ml D5W 400mg/ 200ml D5W. Premixed stability (RT/Ref): 24hr. Rate of administration: IVPB: 60 min.,"Special conditions: -Use with caution in G6PD deficiency -Patients must be adequately hydrated -Protect from light | Monitoring: CBC KFT RFT | Y-site compatibility: combatability: aztreonam, calcium gluconate…etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.13
clindamycin,mg,no,IV inf,Initial strength: 150mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): NA IVP / 6mg/ ml IVPB. Standard preparation: 300mg/ 50ml D5W 300mg/ 50ml NS. Maximum concentration: 18mg/ ml. Preparation at maximum concentration: 900mg/ 50ml D5W 900mg/ 50ml NS. Vial stability (RT/Ref): Use fresh RT / NA Ref. Premixed stability (RT/Ref): 16 days RT / 32 days Ref. Rate of administration: IVP: NA IVP / IVPB: 30-60 min IVPB.,"Special conditions: Can be given IM | Monitoring: CBC KFT RFT | Y-site compatibility: Compatibility Aciclovir, aztreonam, …etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.13
clonazepam,mg,no,IVP IV Inf,Initial strength: 1mg/ 1ml. Diluents: NS D5W. Final concentration (IVP/IVPB): 1mg/2ml / 3mg/250ml. Standard preparation: 10mg/850ml. Maximum concentration: 1mg/85ml. Preparation at maximum concentration: 10mg/850ml. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 24hr. Rate of administration: IVP: 0.5ml /min / IVPB: 8hr.,Special conditions: Can be given IM | Monitoring: ECG RR BP | Y-site compatibility: Compatibility No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.14
cloxacillin,mg,no,IVP IV inf,Initial strength: 100mg/ ml. Diluents: D5W NS. Reconstitution volume: 2.5ml SWFI of 250mg 4.8ml SWFI of 500mg. Final concentration (IVP/IVPB): 50mg/ ml / 20mg/ ml. Standard preparation: 1g/ 50ml D5W 1g/ 50ml NS. Maximum concentration: 20mg/ ml. Preparation at maximum concentration: 1g/ 50ml D5W 1g/ 50ml NS. Vial stability (RT/Ref): 24hr / 48hr. Premixed stability (RT/Ref): 24hr NS 8hr D5W / 24hr NS 8hr D5W. Rate of administration: IVP: 3-5 min / IVPB: 30 min.,Special conditions: IM not recommended | Monitoring: Hypersen sitivity GI effects | Y-site compatibility: Compatibility : Compatibility Hydromorphon,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.14
colistimethate sodium,mg,no,IV IV inf,Initial strength: 200000u/ ml 75mg/ ml. Diluents: NS D5W. Reconstitution volume: 10ml SWFI. Final concentration (IVP/IVPB): 200000U/ml IVP / 3.2 mg/ml IVPB. Standard preparation: In 50 ml. Maximum concentration: 16 mg/ml. Preparation at maximum concentration: 16 mg/ml. Vial stability (RT/Ref): 8 hr RT / 24hr Ref. Premixed stability (RT/Ref): Use fresh RT / 24 hrs Ref. Rate of administration: IVP: 5 min IVP / IVPB: 30 min – 60 min IVPB.,"Special conditions: IV push (in patients with a totally implantable venous access device [TIVAD] only dilute 1 M units in 5 ml SW For continuous IV administration: Inject one-half the total daily Dose over 3 min, the remainder of the total daily dose should be added to a compatible IV fluid and administered over the next 22 - 23 hrs starting 1 - 2 hrs after the initial dose. - 1million = 80 mg | Monitoring: Scr BUN Urine output Signs of neurotoxi city","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.14
cyclosporine,mg,no,IV inf,Initial strength: 250mg/5ml. Diluents: NS D5W. Reconstitution volume: 50mg/ml. Final concentration (IVP/IVPB): 5000mg/ml. Standard preparation: 50mg/100ml. Maximum concentration: 1000mg/ ml. Preparation at maximum concentration: 50mg/20ml. Premixed stability (RT/Ref): 6hr PVC 24hr in glass. Rate of administration: IVPB: 2-6hr.,"Special conditions: Use glass bottle Prepare in chemo room | Monitoring: Bp Scr Blood level | Y-site compatibility: Compatibility: Propofol, caspofungin meropenem…etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.15
dantrolene,mg,no,IV inf,Initial strength: 0.33mg/ ml. Diluents: SWFI. Reconstitution volume: 60 ml. Final concentration (IVP/IVPB): 0.33mg/ ml. Standard preparation: 20mg/ 60ml SWFI. Maximum concentration: 0.33mg/ ml. Preparation at maximum concentration: 20mg/ 60ml SWFI. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 6hrs. Rate of administration: IVPB: 60 mint.,Special conditions: Do not mix with other solutions IM not recommended | Monitoring: LFT Body weight | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.15
dexamethasone sodium phosphate,mg,no,IVP IV inf,Initial strength: 4mg/ml. Diluents: NS D5W. Final concentration (IVP/IVPB): 4mg/ml (undilut ed) / >8mg/50ml. Standard preparation: >8mg/50ml D5W >8mg/50ml NS. Maximum concentration: 4mg/ml. Premixed stability (RT/Ref): 24 hrs / 2 days. Rate of administration: IVP: 3 mint / IVPB: 30 mint.,"Special conditions: -protect from light -IM administer small doses without further dilution -Dexamethasone Acetate injection not for IV use | Monitoring: Hemoglob in -Serum K -Serum glucose | Y-site compatibility: Aciclovir, amikacin, aztreonam, cisatracurium …etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.15
diazepam,mg,no,IVP,Strength (name column): 10mg/2ml. Initial strength: 5mg/ml. Diluents: NS D5W. Final concentration (IVP/IVPB): 5mg/ml Undiluted IVP / NA IVPB. Vial stability (RT/Ref): NA RT / NA Ref. Premixed stability (RT/Ref): NA RT / NA Ref. Rate of administration: IVP: 5mg/ mint IVP / IVPB: NA IVPB.,Special conditions: -Dilution not recommended due to precipitation risk -IV slowly to avoid venous thrombosis and phlebitis - Diazepam emulsion is the preferred preparation for IV inf because it forms more stable preparation and is also less irritant to veins - PVC containers and giving sets should not be used – more than 50% of the dose may be adsorbed. Glass or polyethylene should be used in preference -Protect from light | Monitoring: Cardiovas cular and mental statues Respirato ry function -LFT | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.15
diazoxide,mg,no,IVP,Strength (name column): 300mg/20ml. Initial strength: 15mg/ ml. Final concentration (IVP/IVPB): 15mg/ml undiluted. Rate of administration: IVP: 30 secon ds.,"Special conditions: - slow administration reduces the antihypertensive response, Use a cannula for administration, taking care to avoid extravasation - Patients should remain supine at least 1 hour after IV dosing and also during administration. -protect from light | Monitoring: Blood pressure -Serum uric acid -KFT -CBC with differenti al AST -Urine glucose and ketones | Y-site compatibility: No information","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.16
diphenhydramine,mg,no,IVP IV inf,Strength (name column): 50mg/ml. Initial strength: 50mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): Undiluted / 1mg/ ml. Standard preparation: 50mg/ 50ml D5W 50mg/ 50ml NS. Maximum concentration: 2mg/ ml. Preparation at maximum concentration: 100mg/ 50ml D5W 100mg/ 50ml NS. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 24 hrs. Rate of administration: IVP: 3-5 min / IVPB: 25 mg/min.,"Special conditions: -Can be given IM -Protect from light | Monitoring: CNS depressio n Drowsines s | Y-site compatibility: Abciximab, Acyclovir Na, Azithromycin, Aztreonam…etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.16
dipyridamole,mg,no,IV inf,Strength (name column): 10mg/2ml. Initial strength: 5mg/ml. Diluents: D5W NS. Final concentration (IVP/IVPB): NA IVP / 1mg/ml IVPB. Standard preparation: 20mg/20ml NS 20mg/20ml D5W. Maximum concentration: 2.5mg/ml. Preparation at maximum concentration: 50mg/20ml NS 50mg/20ml D5W. Vial stability (RT/Ref): NA RT / NA Ref. Premixed stability (RT/Ref): NA RT / NA Ref. Rate of administration: IVP: NA IVP / IVPB: 0.142mg/ kg/mint for 4 mint IVPB.,Special conditions: -protect from light -Standard dose: 567 micrograms/kg by IV infusion over 4 minutes (at approx 142 micrograms/kg/mi nute). Thallium- 201 should be injected within 3– 5 minutes following the 4- minute infusion. -Aminophylline should be available for emergent use dose of 50-100 mg IVP over30-60 second | Monitoring: -Heart rate -Blood pressure -ECG | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.16
disodium pamidronate,mg,no,IV inf,Strength (name column): 15mg/5ml. Initial strength: 3mg/ml. Diluents: D5W NS. Reconstitution volume: 5ml SWFI. Final concentration (IVP/IVPB): 0.3mg/ml. Standard preparation: 30mg/100ml NS 30mg/100ml D5W. Maximum concentration: 0.36mg/ ml. Preparation at maximum concentration: 90mg/250ml NS 90mg/250ml D5W. Vial stability (RT/Ref): Use immedia tely. Premixed stability (RT/Ref): Use immedi ately / 24 hrs. Rate of administration: IVPB: 60 mg/hour (1mg/min) In impaired renal function maximum rate 20 mg/hour..,"Special conditions: -The patient must be adequately hydrated using NaCl 0.9% before dosing for ↑Ca. Infusion into a relatively large vein minimizes patient discomfort - should be infused slowly to avoid renal impairment | Monitoring: -Serum Ca, electrolyte -CBC -Serum creatinine | Y-site compatibility: No information","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.17
erythromyci n,mg,no,IV inf,Strength (name column): 500mg 1gm. Initial strength: 50mg/ ml. Diluents: NS. Reconstitution volume: 10ml SWFI for 500 mg dose 20ml SWFI for 1g dose. Final concentration (IVP/IVPB): NO / 1mg/ ml. Standard preparation: 500mg/ 500ml NS. Maximum concentration: 5mg/ ml. Preparation at maximum concentration: Premixed: 500mg/ 100ml NS. Vial stability (RT/Ref): 24 hrs / 14 days. Premixed stability (RT/Ref): 8 hrs / 24 hrs. Rate of administration: IVP: No / IVPB: 60 min.,"Special conditions: IM not recommended Do not use NS for reconstitution may precipitate | Monitoring: CBC LFT Vital signs | Y-site compatibility: Aciclovir, aminophylline, ampicillin, benzylpenicillin, esmolol, hydrocortisone sodium succinate, labetalol…etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.17
etomidate,mg,no,IV inf IVP,Strength (name column): 2mg/ml. Initial strength: 2mg/ml. Final concentration (IVP/IVPB): 2mg/ml / 2mg/ml. Maximum concentration: 2mg/ml. Vial stability (RT/Ref): Use fresh. Rate of administration: IVP: 30–60 secon ds / IVPB: 10- 20 mcg/kg/min t.,"Special conditions: -infusion may lead to adrenal suppression | Monitoring: Heart rate -blood pressure | Y-site compatibility: Atropine sulfate, atracurium besylate, fentanyl citrate, lidocaine HCL, lorazepam…etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.17
factor ix,mg,no,Depen d on produc t,Initial strength: 500iu/ vial. Diluents: SWFI. Reconstitution volume: 10 ml. Final concentration (IVP/IVPB): Depend on product IVP / Depend on product IVPB. Standard preparation: Depend on product. Maximum concentration: Depend on product. Preparation at maximum concentration: Depend on product. Vial stability (RT/Ref): Depend on product RT / 3hr depe nd on prod uct Ref. Premixed stability (RT/Ref): Depend on product RT / Depe nd on prod uct Ref. Rate of administration: IVP: Depe nd on prod uct IVP / IVPB: Depend on product IVPB.,Special conditions: Depend on product | Monitoring: Level of factor VII and IX PT PTT | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.17
filgrastim,mg,no,IV bolus SC IV inf,Initial strength: 300mcg/0. 5ml Intact containers should be refrigerate d at 2 to 8 °C and protected from direct sunlight. Diluents: Only D5W. Final concentration (IVP/IVPB): 12mg/50ml 6mg/100ml. Standard preparation: 600mg in 50- 100 ml of D5W. Maximum concentration: 15mg/ml Or mcg. Preparation at maximum concentration: 15mg/40ml. Premixed stability (RT/Ref): Unstabl e at RT / 24 hr. Rate of administration: IVP: 15-30 min / IVPB: IV inf intermitted 15-60 min IV inf continues over 24hr.,"Special conditions: -SC Undiluted -Scinf: add to a suitable volume of Gluc 5%, ensuring that the final concentration is 15 micrograms/mL or more -Stability is conc. dependent: if filgrastim concentration is <15 micrograms/mL then human serum albumin must be added to produce a final albumin conc. of 2 mg/mL | Monitoring: CBC | Y-site compatibility: Compatibility: Acyclovir sodium,, Allopurinol sodium, Amikacin sulfate, Aminophylline, Ampicillin sodium","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.18
flucloxacillin,mg,no,IV P IV inf IM,Initial strength: 250mg powder 250mg/100 ml premixed 500mg/ 100ml. Diluents: NS. Reconstitution volume: 5 mL WFI. Final concentration (IVP/IVPB): 50MG/ ML / 5mg/ml. Standard preparation: 20MG/ ML. Maximum concentration: 5000MG/ 100ML. Preparation at maximum concentration: 1000mg/50ml. Vial stability (RT/Ref): 30 min Use fresh / 24 hr. Premixed stability (RT/Ref): 24hr. Rate of administration: IVP: 3–4 minu tes / IVPB: 30-60 min.,Special conditions: Intrapleural injection IT | Monitoring: -LFT -RFT -FBC | Y-site compatibility: Compatibility,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.18
fluconazole,mg,no,IV inf,Initial strength: 200mg/100 ml 400mg/200 ml Premixed. Diluents: D5W NA. Final concentration (IVP/IVPB): 2mg/ml. Standard preparation: 200mg/100ml 400mg/200ml. Maximum concentration: 2mg/ml. Preparation at maximum concentration: 200mg/100ml 400mg/200ml. Premixed stability (RT/Ref): 24 hr. Rate of administration: IVPB: 1 -2 hrs.,"Special conditions: 200 mg/100 mL over 10 minutes; 400 mg /200 mL over 20 minutes (600 mL/hr).In the USA, a maximum infusion rate of 100 mL/hour is recommended. | Monitoring: LFT, Renal function test | Y-site compatibility: Compatibility Acyclovir sodium, Allopurinol sodium, Amifostine, Amikacin sulfate ..etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.18
flumazenil,mg,no,IVP IV inf,Strength (name column): 0.5mg/5ml. Initial strength: 0.1mg/ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 0.1mg/ml undiluted IVP / Continuous infusion IVPB. Maximum concentration: 0.1mg/ml undiluted. Vial stability (RT/Ref): 24hrs RT / NA Ref. Premixed stability (RT/Ref): 24hrs RT / NA Ref. Rate of administration: IVP: 15 secon ds (cons cious sedati on) to 30 (gene ral anest hesia) secon IVP ds) Not to excee d 0.2 mg/m in. / IVPB: 100-400 micrograms /hour continuous infusion IVPB.,"Special conditions: Max cumulative dose 3mg/hr -For additional doses,may repeat at 1min intervals (Max 4 doses) -avoid extravasations,avo id pain on inj by using large vein IM NOT RECOMMENDE D | Monitoring: blood pressure -Heart rate -Level of re- sedation and conscious ness","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.18
foscarnet,mg,no,IV inf,Strength (name column): 24mg/ml. Initial strength: 24mg/ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 12mg/ml Peripheral line. Standard preparation: Premixed 250ml bottle. Maximum concentration: 12mg/ml Periphera l line 24mg/ml Central line. Preparation at maximum concentration: Premixed 250ml bottle. Vial stability (RT/Ref): 24 hrs. Premixed stability (RT/Ref): Use immedi ately / 24hrs. Rate of administration: IVPB: not to exceed 60 mg/kg over 1 hour or 120 mg/kg over 2 hours or 1mg/kg/min t -Use 0.22 micron in line filter.,"Special conditions: -Not for rapid injection -The 24 mg/mL solution may be given without dilution via a central vein -If a peripheral vein is used, the solution must be diluted to give a solution containing 12 mg/mL before administration -some centers piggyback 1 L NaCl 0.9% to run concurrently with the foscarnet dose | Monitoring: CBC Electrolyt e -KFT Ophthalm ic exam | Y-site compatibility: Amikacin, aminophylline, ampicillin, aztreonam, ceftazidime, …etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.19
glucagon,mg,no,IVP IV inf,Strength (name column): 1mg. Initial strength: 1mg/ml. Diluents: D5W. Reconstitution volume: 1ml SWFI. Final concentration (IVP/IVPB): 1mg/ml / 0.1mg/ml. Maximum concentration: 1mg/ml. Vial stability (RT/Ref): Use immedia tely / 2 days. Rate of administration: IVP: 1mg/ mint / IVPB: 1–5 mg/hour.,Special conditions: -1 unit=1mg -Gently roll vial to dissolve glucagon -Continuous infusion may be used in beta- blocker toxicity/over dose 5–10 mg by slow IV injection over 10 minutes (to reduce the likelihood of vomiting); followed by an IV infusion of 1–5 mg/hour (50 micrograms/kg/ho ur) titrated to clinical response - If the solution shows signs of fibril formation (↑viscosity) or insoluble matter it should be discarded | Monitoring: -Blood pressure -ECG -Blood glucose -Heart rate - Mentation | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.20
glycopyrrolate bromide,mg,no,IVP IV inf,Strength (name column): 0.2mg/ml. Initial strength: 0.2mg/ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 0.2mg/ml (undiluted) IVP / 2mcg/ml IVPB. Standard preparation: 0.2mg/100ml NS 0.2mg/100ml D5W. Maximum concentration: 2mcg/ml. Preparation at maximum concentration: 0.2mg/100ml NS 0.2mg/100ml D5W. Vial stability (RT/Ref): Use immedia tely RT / NA Ref. Premixed stability (RT/Ref): 24 hrs RT / NA Ref. Rate of administration: IVP: 60sec - 3mint IVP / IVPB: 15–20 minutes IVPB.,Special conditions: -IM administer undiluted -Glycopyrrolate may be mixed with neostigmine or pyridostigmine to minimize cardiac side effects 5–10 mcg/kg (0.2 mg of glycopyrrolate for every 1 mg of neostigmine or 5 mg of pyridostigmine | Monitoring: -Heart rate anticholin ergic effects -Bowel sounds,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.20
granisetron,mg,no,IVP IV inf,Initial strength: 1mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 0.2mg/ml dilute each 1 mg (1 mL) to 5 mL with NaCl 0.9% in the syringe / 0.02mg/ ml. Standard preparation: 1mg/ 50ml D5W 1mg/ 50ml NS. Maximum concentration: 0.2mg/ ml. Preparation at maximum concentration: 1mg/ 5ml D5W 1mg/ 5 ml NS. Vial stability (RT/Ref): 24 hrs. Premixed stability (RT/Ref): 24 hrs / 24 hrs. Rate of administration: IVP: 30 sec (undi luted) or over 2–5 minu tes / IVPB: 5 -30 mint.,"Special conditions: -Protect from light -40 mcg/kg is the usual maximum dose -Multidose vial stability 30 days | Monitoring: Clinical improvem ent | Y-site compatibility: amikacin, aminophylline, ampicillin, aztreonam, bumetanide, calcium gluconate, cefotaxime..etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.21
haloperidol,mg,no,IVP IV inf,Initial strength: 5mg/ ml. Diluents: D5W. Final concentration (IVP/IVPB): Undiluted / 1mg/ ml. Standard preparation: 50mg/ 50ml D5W. Maximum concentration: 1mg/ ml. Preparation at maximum concentration: 50mg/ 50ml D5W. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 7 day. Rate of administration: IVP: 3-5 min / IVPB: 30 min.,"Special conditions: -Can be given IM -Protect from light during storage | Monitoring: ECG Electrolyt es: Serum K, Ca, Mg LFTs KFT | Y-site compatibility: No information","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.21
hydralazine,mg,no,IVP Iv inf,Strength (name column): 20mg. Initial strength: 20mg/ ml. Diluents: NS. Reconstitution volume: 1 ml SWFI. Final concentration (IVP/IVPB): 20mg/ ml Withdraw the required dose and further dilute to 10 mL with NaCl 0.9% / 0.04mg/ ml. Standard preparation: 40mg/ 1000ml NS. Maximum concentration: 0.1mg/ ml. Preparation at maximum concentration: 40mg/ 200ml NS. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 24 hrs. Rate of administration: IVP: 2-3 mint (5 mg/m in) / IVPB: 0.05mg – 0.2mg/mint.,"Special conditions: No Special Conditions | Monitoring: BP Pulse KFT LFT | Y-site compatibility: Hydrocortisone sodium succinate, verapamil","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.21
hydrocortisone sodium succinate,mg,no,IVP IV inf,Strength (name column): 100mg 500mg. Initial strength: 100mg/ 2ml 500mg/ 4ml. Diluents: D5W NS. Reconstitution volume: 2 ml SWFI 4ml SWFI. Final concentration (IVP/IVPB): Undiluted / 1mg/ ml. Standard preparation: Premixed: 100mg/ 100ml D5W 100mg/ 100ml NS. Maximum concentration: 60mg/ ml. Preparation at maximum concentration: 3000mg/ 50ml D5W 3000mg/ 50 ml NS (4 hrs stability). Vial stability (RT/Ref): 72 hrs. Premixed stability (RT/Ref): 0.1 -1 mg/ ml 24 hrs 2-10 mg/ml 4 hrs / 24 hrs. Rate of administration: IVP: 1–10 minu tes 1 mint for doses < 200 mg 10 mint for doses ≥200 mg / IVPB: 30 min.,"Special conditions: Can be given IM | Monitoring: Serum K, Ca, Na | Y-site compatibility: Aciclovir, adrenaline (epinephrine), aminophylline, atracurium, aztreonam, benzylpenicillin..e tc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.21
